	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YCR013C	-2.63405167544573	-1.862550718229975	-1.87433150710801	-2.422060732498515	-2.70034254993373	-3.573975917026595		
YCR018C							1.2762621143219	
YCR020C-A					-1.07358585809874			
YCR021C			-1.3210923069204599				1.29727346013334	1.44917199267298
YCR057C							1.50591621964432	
YCR060W							1.14245405550976	
YCR069W								-1.09301530748538
YCR076C					-1.06412032401932			
YCR079W							-1.02582248959324	
YCR093W					1.22131039684525			
YCR100C					1.229412135048		-1.31257887748831	-1.2651276702921
YCR106W					1.22862606613538			
YDL004W		-1.1222063506017648						
YDL014W							2.19812963691266	
YDL017W								1.08842631322495
YDL019C							-1.008546748958995	
YDL021W	-1.4590017476379802							
YDL022W	-2.9142835106091196						-1.81684099663488	-2.6987080179506
YDL037C	2.6784344076517446						4.29481041658238	3.3592100212137552
YDL039C	2.9356562315345753				1.148901287757735		4.731796532336626	3.975110701699725
YDL048C	-1.4035369197716747						2.06458694948521	1.20391629341538
YDL049C		-1.25662915829483	-1.08475795208152					
YDL058W	1.0410722180823702				1.096507939601275			
YDL059C							1.070466942786745	
YDL061C							1.5414591799270903	
YDL063C							2.2782149722562446	1.6619018356495001
YDL066W						-1.616219987073165		
YDL067C		-1.3175992829378402	-1.345308769187615	-1.199499190205405	-1.23051691189432	-1.6767976017854602		
YDL075W							1.248662407736445	
YDL082W							1.6652184409809752	
YDL083C							1.470492874889465	
YDL086W						-1.1100632175797651		
YDL094C		-1.40110575941601	-1.1100157354510851		-1.08182055080001			
YDL110C							-1.443149389347845	-1.394396176127505
YDL120W						1.19245207751702		
YDL124W	-1.2725715837080251							
YDL129W							1.1426626199746701	1.4300801964293448
YDL130W							1.56870802987432	
YDL132W								-1.130737896093035
YDL133C-A	-1.353923777532235	-1.414605663943885	-1.43263710256796		-1.83889857917589	-1.19675819630898		
YDL133W							-1.18178494106915	
YDL149W							-1.15072662167903	-1.28937472197264
YDL167C							1.2374153324518	
YDL170W						-1.80778243087651		
YDL174C	1.422936168186455							1.212997924611755
YDL177C							1.284821326698645	
YDL181W						-1.13037578715796		
YDL197C								-1.0292961207791103
YDL198C				-1.0723937274658049		-1.9486590935954897		
YDL204W							-2.713495752186735	-3.3154396010064104
YDL214C		2.30484987085112	2.3552725984733653	2.375491958995385	2.30149783322069			
YDL215C		1.86589698292137	1.5277201225683599	1.730321932840615	1.299710896570375	1.23164675378932		
YDL216C							-1.162189799424175	
YDL222C	-1.53725627217924							-2.21794466784991
YDL223C		1.249356503949125	1.12049718682829				-1.6045112276132352	-3.634571244227065
YDL227C							1.224902184058645	
YDL229W							1.7340367796155198	
YDL234C		1.510297815804845	1.034200999873585			1.22693982171848		
YDL236W							1.236733078403835	1.72269096143323
YDL239C					1.36456857148959			
YDL243C	1.4058747773026852				1.1159522314020252			
YDR002W							1.1402322712896251	1.42639641592693
YDR009W								1.08807308233208
YDR011W		1.104357292759415			1.1779591708322852			
YDR012W							1.13911119198306	
YDR016C		-1.15263165276491	-1.0643920065212948		-1.16278900152134	-1.241496739932945		
YDR025W							1.849130203195105	
YDR030C						-1.1420145936484651		
YDR032C		-1.4625245083094298	-1.4625255473445953	-1.121784474430305	-1.352994177779855			
YDR033W						-1.2674811362859448	1.96984573514135	2.20330349497605
YDR037W							1.963233678661645	1.8982375338685649
YDR040C	1.1471275047080098	1.5878146699872597	1.72708191604073	1.530737793489535	1.9581517037336797			-1.4091184247562198
YDR043C		1.619554094568235	1.43956879112742					
YDR044W							2.085352477193255	1.56273360160287
YDR046C								1.7405456263337
YDR047W								1.12057698844439
YDR050C								-1.2188570411454251
YDR064W							1.1570757521226	
YDR069C							-1.2597516897849401	
YDR074W							-1.125191161043785	
YDR077W	-1.9001528670270802							
YDR079C-A					-1.1027331995849452			
YDR091C							1.0637350390365499	
YDR096W		1.1070122155678201						
YDR101C							1.998335355162195	
YDR133C						-1.94304543753989		
YDR146C								-1.405880503977515
YDR151C							1.08410595527446	
YDR154C							-1.241082394747045	-1.2538028933226901
YDR155C	-1.5645467809516953						-1.386265272141995	-1.7988007350225699
YDR158W						-1.428111470139875		
YDR169C								-1.2581005434566999
YDR171W	-1.596387109410775					1.2417169892085251		
YDR180W					1.096446422664215			
YDR184C							1.7148289926989198	1.129325096692905
YDR185C								1.3622068593961751
YDR209C						1.6478669935919		
YDR213W							1.204120236456985	
YDR214W			1.13201310288949					
YDR216W	1.235949122009355	1.1230275261190101	1.32021660364498					
YDR222W								1.346295448643915
YDR223W							-1.240564573165165	-1.2995201197983501
YDR225W		-1.242659915555905	-1.143773758318625		-1.2637277760551098	-1.122550400578835		
