	Tneg1	T45	T60	T90	T180	T300
YHR023W	1.0964857085609552					
YHR071W	1.48125038529705					
YHR072W-A			-1.08308132267203		-1.34731742301057	
YHR080C					1.116323529082585	
YHR082C					1.303807287235405	
YHR089C					-1.287871261015105	
YHR092C						2.7466643839325204
YHR155W					1.26498824546719	
YHR163W		-1.156943951762495	-1.06941296270371			
YHR183W		-1.2388532022652399	-1.260129151325335			
YHR209W						1.25818518959735
YHR210C					1.1057075544614499	
YHR211W		1.1346292547452799		1.12691337668524	1.9165412831313302	1.078485175925505
YHR216W	-1.774061259624395		-1.2819785080432449	-1.141931234583165	-1.60348823302576	
YIL002W-A	-1.44354702520234	-1.197563993913215	-1.3263004422640798	-1.1049436222654352	-1.24224192142248	-1.035538439805285
YIL031W					1.2682227488038	
YIL055C					1.17255704040087	
YIL064W					-1.110450872605075	
YIL128W					1.07998859620472	
YIL129C					1.19652582911846	
YIL140W						1.11701027610641
YIL156W-B	-1.2605955836690501		-1.137292182244995		-1.138083257941275	
YIL160C	1.26754365417692					
YIR012W					-1.0905831433462498	
YIR019C					1.471454812330885	
YIR036C						-1.254154935430385
YJL005W					1.21148805175942	
YJL052W					1.18567854290538	
YJL084C					1.22182664197411	
YJL088W	2.156157693352025					
YJL089W	1.40870429184988				1.4043658396679	
YJL105W					1.1606362868206652	
YJL143W	-1.211730900067355					
YJL151C	-1.32305872458427	-1.139446912657795	-1.2843203895993849		-1.6343282898254947	-1.261720870920055
YJL153C	-1.3324616759917651					
YJL172W					1.10764282897244	
YJL188C	-1.6193267041099748	-1.37275016977141	-1.5989596191785997	-1.6857731361372799	-1.56418472507805	-1.3812093311967801
YJL194W					1.23785130838883	
YJL207C					1.18117279418235	
YJL212C					1.1472980982349499	
YJL217W						-1.19795031729214
YJL218W						-1.6812670095594653
YJR061W					1.21876454652882	1.3871641738424
YJR073C	-1.1169606972817299					
YJR085C					-1.02408153171415	-1.14255647183868
YJR094W-A					-1.15452476916129	
YJR109C	1.784174286117055					
YJR112W-A						-1.185542517987345
YJR129C					-1.0462290878786749	
YJR137C					1.525073936348005	
YJR138W					1.098093569161885	
YJR149W					1.5469209781175848	
YJR151C	1.317340906966635		1.1964959321695452		1.5702439806274548	
YKL018C-A	-1.1505567695554202		-1.2236984682054048	-1.249712846962335		
YKL023C-A	-1.23386515756601				-1.1876165541112451	
YKL058W	-1.1009166905799601					
YKL092C					1.106141197162405	
YKL101W					1.15857015885634	
YKL121W					1.188515348555175	
YKL152C			-1.0733244590754052		-1.2710669239406598	
YKL163W					1.21812586231548	
YKL187C	1.295952019565905					
YKL216W					-1.095811056980995	
YKL217W					1.201737036598	
YKR015C					1.200470369677765	
YKR039W						-1.38644496386887
YKR054C					1.12702441134989	
YKR102W					1.561954716462795	
YLL005C					1.198917570113235	
YLL009C	-1.24536338451473					
YLL013C					1.2701288967732598	
YLL040C					1.109189891522965	
YLL061W						1.43447655746851
YLR074C					-1.01526797883869	
YLR075W	-1.14874965133722		-1.153800793595545	-1.220838402778145	-1.49413381964818	
