	Tneg1	T45	T60	T90	T180	T300
YLR304C			1.2462887456443599			
YLR411W				2.0494564448355748		
YLR452C					1.13830060985487	
YML085C				-1.21851208272348		
YML116W				1.1820983026101		
YML123C				1.46782845312383		
YMR011W	2.3093740561307197					
YMR034C			1.194901799061335	1.3089228956814751		
YMR081C		-1.4443154937006502				
YMR085W			1.37351212010841	1.23576718204253		
YMR095C	-1.3291928243557352					
YMR096W		1.2681383285249699	1.10718896895309	1.429699102473975		
YMR144W				-1.504956145308235		
YMR173W-A			1.5710906928949098			
YMR244W		1.24778781974772				
YMR251W		1.46640234841365				
YMR294W-A		-1.185398731826435			-1.41378759886893	-1.1157852597878648
YMR303C	-1.882302759046565					
YMR304C-A		-1.427697105412415		-1.3784383468072299		-2.13958771860747
YMR317W		2.055137356145475	1.967348414223375	2.2056238481138752	1.2906610102842748	
YNL030W				-1.928563424901895		
YNL031C				-1.4433172266628351		
YNL044W				-1.2994665584218899		
YNL077W		-1.13692526316385				
YNL142W				1.5141633744898249		
YNL169C				-1.1931011924228598		
YNL192W			1.09400855436976			
YNL208W		1.11081485576308				
YNL234W	1.243544892650515					
YNL279W				1.3799666918095501		
YNL300W		-1.17345781679174		-1.6591234465767748		
YNR002C	-2.08271157956663					
YNR009W				-1.23993647757873		
YNR044W		1.73268744213405	1.8707177867714102	2.431360022499335	2.248433409917285	
YNR068C		1.3115677419895	1.781385055083005	1.857811319854265		
YNR069C			1.2755318359645849			
YOL012C				-1.19536177610743		
YOL035C	1.405057776245585					
YOL052C-A			1.215167957141935	1.3498996807620198		
YOL058W		1.14109303575074				
YOL108C						1.1055565159223502
YOL143C			-1.1541281580142648	-1.28572975470106		
YOL154W		1.80012970741751	1.7852637541225198			
YOL158C		1.364178556391245	1.13488872091434			
YOR047C	1.6922030118866598					
YOR062C	1.4951501646243401					
YOR073W				-1.13263078278409		
YOR074C		-1.527536468600835	-1.342353283064			
YOR084W				-1.2981556752038301		
YOR133W	1.25690700818134		1.15935144607291		1.382785428050275	
YOR137C		1.3191361030849	1.4101398372493001	1.23305456586125		
YOR193W				1.37993349242093		
YOR208W			1.173052411979045			
YOR247W				-1.807851129983105		
YOR273C					-1.677796965054065	
YOR356W		-1.590463304304895	-1.43860181897092	-1.4720765494190249		
YPL026C		-1.227962828643255				
YPL057C				-1.4196488961654201		
YPL088W		1.069010071778035	1.2099668968490551	1.63784064006841		
YPL127C		-1.31953356261783	-1.4322737791380349	-2.288264185566165		
YPL137C			1.217640478429675			
YPL142C			1.282199961809925		1.207813474994735	
YPL154C		1.222399370703005	1.2069977841447002			
YPL189C-A		-1.43082846339964	-1.1092743339695001			
YPL222W						-1.26654617626148
YPL249C-A		1.74842817365082	1.682611315569425	1.716183076068725	1.43588738453562	1.21709188697274
YPL250C	1.66895809876248	1.165895956873905				
YPL256C				-1.66941552918729		
YPL265W				1.1239651644000102		
YPL272C				1.5732843386989999		
YPR002W					-1.2086903355338001	
YPR052C					-1.22101087545908	
YPR102C						1.2173337159784499
YPR119W				-1.3138915573409249		
YPR157W				-1.72412225991538		
YPR160W				1.2656643534845848		
YPR191W		-1.1961665391103748		-1.23901175058928		
