	galpluslys	galminuslys	highgluc	lowgluc
YCR060W	1.2278350753566698	1.29113966749522		
YCR065W		-1.08244013741495		
YCR068W		-1.0095869719075798		
YCR069W		-1.14455567353712		
YCR075W-A			-1.03162658489203	
YCR076C			-1.11131131809183	
YCR079W	-1.03161286302128			
YCR081W			1.00245648026606	
YCR089W			1.13230325681581	
YCR093W		-1.07561588717462	1.16201839528449	
YCR100C	-1.3053808471496	-1.63333472669445	1.2063339655738998	
YCR106W			1.12225847874669	
YDL004W			-1.12726177133157	
YDL014W	2.2721892484536697	1.38509032011859		
YDL017W		1.18935120843418		
YDL019C	-1.0018567560364902			
YDL021W				-1.61233015395154
YDL022W	-1.8508528783762601	-2.8507589215733202		-3.52368019503431
YDL039C	5.0871718427971695	4.2749064771567005	1.207531976131755	3.3326443359209104
YDL046W	-1.05738463076666	-1.13199220774889		
YDL048C	2.13620404348673	1.19840012907088		-1.68702595909859
YDL049C			-1.1320315534957535	
YDL052C	1.06759467456557			
YDL058W			1.18822560828846	1.0885915415396101
YDL059C	1.1248997715444098			
YDL061C	1.55376776310188			
YDL063C	2.5427816623051602	1.7949873320311103		
YDL066W			-1.72998086353321	
YDL067C			-1.4684720317624058	
YDL075W	1.2891381432651001			
YDL082W	1.7140183693381			
YDL083C	1.5307013922581598			
YDL101C		-1.01237186210878		
YDL110C	-1.4378084870896202	-1.5697908342598998	-1.04115444824433	
YDL111C		1.00096821619562		
YDL117W		1.10556193384817		
YDL120W			1.1860402548145201	
YDL124W				-1.31109147353281
YDL129W	1.1993600177609098	1.32729030056387		
YDL130W	1.6289744931192902			
YDL132W		-1.07570823435296		
YDL133C-A			-1.65473933433448	-1.72141495639151
YDL133W	-1.1913959108836498			
YDL142C			-1.13035566302551	
YDL149W	-1.1339640321523898	-1.22520755223021		
YDL158C				1.08497295952146
YDL160C			1.1133087262832901	
YDL167C	1.7548983885383702			
YDL170W		1.05443026620312	-2.01874781265056	
YDL174C		1.22160888849402		1.6631903684741798
YDL177C	1.30217677504616			
YDL181W			-1.1683172684802248	
YDL191W	1.03196247868991		1.02436716789931	
YDL197C		-1.1070365679241698		
YDL198C			-1.6396653887400798	
YDL200C			-1.0509134856776898	
YDL204W	-2.73765736006316	-3.4190567987416802		
YDL215C			1.6183174887956397	1.5542018004923899
YDL216C	-1.25787428684712	-1.1066891036664699		
YDL227C	1.45226686789007			
YDL229W	1.8161004393473101			
YDL234C			1.185034987518062	
YDL236W	1.3112099202837801	2.00136242173973		
YDL239C			1.03838768954996	
YDL243C				1.6672815557828102
YDR002W	1.16343916547233	1.49884685489686		
YDR009W		1.2956600745064		
YDR011W			1.1137072107815167	
YDR012W	1.1693735794583			
YDR016C			-1.190423311345386	
YDR021W		1.76687411952407		
YDR025W	1.88365309717298			
YDR030C			-1.16890632681196	
YDR032C			-1.3960381660133525	
YDR033W	1.99612624370749	2.08685825996753	-1.34753386240867	
YDR037W	2.09443170405559	1.84237209272172		
YDR040C		-1.4617350649515302	1.8267141691329023	1.20336468210717
YDR043C			1.362648435669255	
YDR044W	2.10452737128725	1.5401587146071003		
YDR046C		1.77561440460895		
YDR047W		1.0997807293973898		
YDR050C		-1.2041399004151598		
YDR060W	1.0330862128029599			
YDR064W	1.21122066027902			
YDR069C	-1.31414789212695	-1.08417799425314		
YDR074W	-1.13055870465964			
YDR077W				-2.0618246111605
YDR079C-A			-1.27038503236748	
YDR090C			-1.00580895933992	
YDR091C	1.04900724510614			
YDR096W			1.122390149740455	
YDR101C	2.10728800826419	1.249567802985		
YDR115W			-1.04765299463645	
YDR133C			-1.6336432123315665	
YDR141C			1.03267987025471	
YDR144C			1.2051501492631298	
YDR146C		-1.4037799878556398		
YDR151C	1.1662144144288402			
YDR154C	-1.2566677947670601	-1.22231548977518		
YDR155C	-1.3684362653296598	-1.8054604729583998		-1.5943005775407402
YDR158W			-1.56004899875722	
YDR169C		-1.4081415029263202		
YDR171W			1.32259584318069	-1.8245904935060702
YDR180W			1.06274266307153	
YDR184C	1.83424892305092	1.16850776790742		
YDR204W			-1.02229779782603	
YDR210W	1.10467422773633	1.01899792308958	1.23261822882503	
YDR213W	1.26003671982422			
YDR214W			1.100197058376055	
YDR216W			1.20664074018071	1.2994085773138502
YDR222W	1.6412582253581203	2.93162520885995		
YDR225W			-1.2391939301024675	-1.0344979292268
YDR234W	1.78858507603825	1.2843228361030101	1.09066582120147	
YDR249C		1.10484810460833		
YDR256C		-2.38981365921796		
YDR258C			1.3592896702156867	
YDR259C			1.1783760351506773	
YDR264C			-1.4468225925299099	
YDR266C	1.07208634620726			
YDR268W		1.0146492979031099		
YDR270W			-3.5217882503632003	
YDR277C	1.2288471651906598	1.01772441525566	-1.40453138664095	
YDR280W	1.05003016088033	1.0564807693526999		
YDR281C			1.9192526646019978	2.37324525735035
YDR285W			1.1061745975021027	
YDR286C			-1.05140167293582	
YDR293C		-1.00190700545917	1.095236780531295	
YDR299W	1.02330386255722			
YDR300C		1.10252796961847		
YDR308C		1.20268968596767		
YDR320C-A		-1.0633007056436998	-1.8059493729523504	-1.38408088263632
YDR322C-A			-1.36390493520544	
YDR324C	1.8593470771387	1.0394599356618		
YDR328C			-1.12781094549068	
YDR329C		-1.00509280169783		
YDR330W	-1.03834646332469	-1.14612302874588		
YDR345C	2.43119414621615			
YDR353W	1.0724034343924398			
YDR377W			-1.1042986465182467	
YDR378C			-1.19312823444265	
YDR380W		-2.4788119265187003		
YDR382W	1.02736364130593			
YDR384C		-1.06033798870041	-1.01160242407621	
YDR385W			1.5804940225571	1.4366983000897
YDR395W	1.03259827235965			
YDR398W	1.1328981648386798	1.02435907568609		
YDR400W			1.53785407493648	
YDR410C		1.02541925199376		
YDR418W	1.8085303050015402			
YDR420W		-1.1962985215666	1.0720896855027702	
YDR424C			-1.1332531203236074	
YDR447C	1.67031060357579			
YDR449C	1.5645419771103701	1.03367499114208		
YDR451C		-1.5613536317646701		
YDR453C			-1.2633203267380602	
YDR461W			-1.472103756495642	-1.2441160172733101
YDR464W				1.0800883398796401
YDR465C	1.26558985534254	1.31943769770435		
YDR470C	-1.3441115406066102	-1.6919642160844799		
YDR471W	1.7200732515273798			
YDR497C			-1.2290690769305201	-1.32559699080924
YDR502C		1.10879225262098	-1.239115554535255	-2.11600520099275
YDR507C			1.1277698634051	
YDR508C	2.14229735213481	1.77535792249199		
YDR514C		1.02837964017359		
YDR518W			1.4999733063044798	
