	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YDR320C-A	-1.5772535777832102	-1.3774934016023999	-1.25708827505899		-1.6239597748835402	-1.17438332202216		
YDR322C-A	-1.2546127955863149	-1.21459045994586						
YDR328C					-1.28001905364113			
YDR345C	6.7745548651512895						7.524297167754591	7.361818810819575
YDR370C								1.158032313439425
YDR378C					-1.2747694601665698			
YDR380W								-1.46282504155895
YDR382W					-1.442150114456845			
YDR385W	1.4689671140366	1.363129681295745	1.324235414421575	1.220984380233325	1.278608363150715	1.6464624483890298		
YDR408C					-1.1346931751493199			
YDR418W							1.38657580663529	
YDR420W					1.194238357761325			
YDR424C		-1.1375840939553			-1.2626348737002			
YDR447C					-1.0627864999612349		1.43305166274413	
YDR450W					-1.08590159466289			
YDR461C-A	-1.113355829193025				-1.05209885462159	-1.252920060455735		-1.2343383105795749
YDR461W	-2.28060222841675	-1.4566595328195149	-1.70570447904816		-1.618168730111555	-1.813793255611595		-1.15075675777972
YDR471W							1.4274831055099648	
YDR482C					-1.06721494891596			
YDR500C					-1.06779734627533			
YDR505C					1.0692347910538			
YDR512C	-1.0920955614892551							
YDR519W					-1.51197131288928			
YDR524W-C		1.5614063815703347	1.553441329025255	1.64557722940425	1.362389213560325	1.1828385306840752		
YDR525W-A						-1.26343915984735		
YDR533C								-1.334047156087065
YDR536W	-2.362910089598075							
YEL017C-A	-1.743357346683945		-1.405568558643775		-1.129319303115805	-1.25214631157883		
YEL022W								1.1470550972406048
YEL029C						-1.2750800449882052		
YEL030W								-1.6229570319296203
YEL033W								-1.140206297373795
YEL040W							-1.310962130985835	
YEL044W					-1.14957501923943	-1.1788268760801701		
YEL060C			1.3874200114965498		1.66787588641186			
YEL065W								1.4870675703486502
YEL071W			1.20712655967372					
YEL077C	1.406903208230385							
YER019C-A			-1.234767168311305		-1.4501155586842551			
YER024W					1.185356841593655			
YER028C	1.14225344117076	-2.271004610418895	-2.423338192460215	-1.83855871554755	-1.65168375651578	-1.204511943541455	1.7239202432621952	1.76316247499887
YER033C					1.201025755757585			
YER037W							1.030933768030915	
YER045C					1.2419364256383352			
YER049W								1.15002216909348
YER056C-A							1.15402884779386	
YER058W						-1.1530525104992098		
YER062C							2.14721899484107	1.7243352398580902
YER065C							-1.19694425615518	1.369346281638855
YER069W	1.40606887355773							
YER070W						1.539031055057635		
YER073W						-1.822495613303695		
YER074W							1.4333185184290649	
YER074W-A	-1.106474994975015				-1.31607196644548			
YER075C					1.1566255297019898			1.1714444211669
YER091C					1.164151116573525			
YER099C					-1.090798643336145			
YER102W							1.333894361909675	
YER111C					1.33885116468134	1.18401308144896		
YER117W					-1.52241476774281		1.29093591833422	
YER127W								1.27004578314748
YER132C					1.12418200869207			
YER134C	-1.096105837795795				-1.043960694459745	-1.27334708779702		
YER145C	-1.20329907852631							1.597969137291725
YER146W		-1.420476803935295	-1.263004504856205		-2.034969105287905	-1.1203945424106		
YER147C-A	-1.6142827308672951	-1.1743809565836352	-1.8433467241504902		-1.8405921883316099			
YER150W					1.1614890818302248			
YER155C					1.03851679408579			
YER158C			1.1836863611087098		1.5193878337602298			
YER168C								1.25143209339514
YER170W							-1.3887523354797748	
YER174C						-1.261317250940105		
YER175C						-1.851505426921535		
YER179W								-1.19796860642104
YFL001W								1.07617181403621
YFL014W			1.4795154626273548					-1.753740027121375
