	Tneg1	T45	T60	T90	T180	T300
YKL067W				-1.1018586157495052		
YKL109W					1.4016567677544751	
YKL148C						1.48737783185553
YKL152C		-1.233910609177705		-1.2668823149543549		
YKR039W	-1.512937655067525				-1.19881709862471	
YKR047W				1.38061495671296		
YKR049C						-1.1372189780625752
YKR058W		1.055039015734355				1.11431730926058
YKR075C		3.2715381050948746	2.762995731919985	1.771278697915785		3.024163310299605
YKR098C		1.9705114107473851	1.77701710216434	1.5627561550236	1.14742654779132	
YLL052C						-2.12313274869306
YLL053C						-2.00276374366988
YLR075W	-1.13742659614923		-1.14689344259222	-1.3791325069133		
YLR092W						-1.7618401551275749
YLR104W					-1.110328102374575	
YLR142W						-1.9615289546351602
YLR146W-A		-1.16233203814238			-1.3832787608931698	
YLR198C					-1.288188156439875	
YLR205C						-3.002064023965965
YLR222C-A				1.17714022990528		
YLR230W				-1.262945623852195		
YLR262C-A					-1.209448844037305	
YLR264C-A				1.3151450814857952		
YLR273C			1.154838708913795			
YLR285C-A				1.147434023925795		
YLR297W					1.68697589010675	
YLR315W					-1.11587829299144	
YLR342W-A	1.4573321069306253	1.190835063174615	1.122899862350665	2.1770248544413198		
YLR343W				1.1407290540978852	1.095318102223225	
YLR395C					-1.09154385332033	
YLR423C					-1.2004989903921301	
YML054C						-1.14958417018953
YML091C		1.682783392706145	1.527084259427655	1.123769935361095	1.11875313590888	1.6282969701566348
YML129C	-1.13492772457858	-1.306194823967985	-1.139807867727165		-1.3849210100323301	-1.20256839974222
YMR011W						2.1597139948825452
YMR015C						-1.072936299580455
YMR103C		1.07074178467342	1.251618838689255	1.166300209531805		
YMR104C		1.307591643032195	1.1217768744491052		1.312346236170105	
YMR136W					1.1922513459373199	
YMR181C			1.24593527131071	1.41343915872065	1.279142354533215	
YMR184W					-1.2260552448832551	
YMR226C					-1.03433082059152	
YMR251W-A					-1.32427325612531	
YMR256C		-1.163900656837945			-1.05499412853059	
YNL015W					-1.1397407122807799	
YNL090W		-1.311574691945515	-1.09638924983454	-1.310823880369085	-1.115112510456475	
YNL115C						-1.08049725989397
YNL138W-A	-1.0945561413333902		-1.05562634405736		-1.53896791126104	
YNL142W					-1.18667083832199	
YNL144C		2.335886857478255	2.0269696891103153	1.3665630165171998	1.09600100287416	1.729589510467075
YNL149C	-2.0126666007236853	-2.33856075634479	-1.825382187521075	-1.9284322012553199	-2.24036062018385	-1.96416005557337
YNL160W						-2.255019991685015
